person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,1759,180.888188,,,
unknown,1,1847,177.328783,,,
unknown,2,1931,169.676444,,,
unknown,3,2007,157.989392,,,
unknown,4,2081,143.549429,,,
unknown,5,2129,126.357927,,,
unknown,6,2161,108.566971,,,
unknown,7,2163,90.761386,,,
unknown,8,2137,73.463228,,,
unknown,9,2076,57.664009,,,
unknown,10,1994,44.165758,,,
unknown,11,1903,33.789983,,,
unknown,12,1808,26.562761,,,
unknown,13,1717,23.226076,,,
unknown,14,1648,22.628073,,,
unknown,15,1601,25.118477,,,
unknown,16,1587,30.190156,,,
unknown,17,1601,37.701137,,,
unknown,18,1637,45.929382,,,
unknown,19,1693,54.490385,,,
unknown,20,1770,63.143933,,,
unknown,21,1845,71.156036,,,
unknown,22,1930,77.736863,,,
unknown,23,2005,82.301374,,,
unknown,24,2075,84.845792,,,
unknown,25,2126,84.780564,,,
unknown,26,2155,83.079877,,,
unknown,27,2154,79.479789,,,
unknown,28,2125,74.178611,,,
unknown,29,2064,67.292589,,,
unknown,30,1982,60.400341,,,
unknown,31,1887,53.774186,,,
unknown,32,1793,47.269158,,,
unknown,33,1699,41.474171,,,
unknown,34,1627,36.775751,,,
unknown,35,1586,33.521391,,,
unknown,36,1571,31.794689,,,
unknown,37,1587,31.938039,,,
unknown,38,1626,33.079661,,,
unknown,39,1681,35.364552,,,
unknown,40,1758,38.733580,,,
unknown,41,1839,43.034365,,,
unknown,42,1917,47.121969,,,
unknown,43,1991,50.781706,,,
unknown,44,2063,54.305106,,,
unknown,45,2109,57.271300,,,
unknown,46,2139,59.242731,,,
unknown,47,2139,60.006294,,,
unknown,48,2113,59.672474,,,
unknown,49,2055,57.988904,,,
unknown,50,1971,55.807179,,,
unknown,51,1879,53.092235,,,
unknown,52,1783,49.687066,,,
unknown,53,1694,45.782977,,,
unknown,54,1622,42.410823,,,
unknown,55,1582,39.740130,,,
unknown,56,1569,37.478591,,,
unknown,57,1584,35.991003,,,
unknown,58,1623,35.137225,,,
unknown,59,1681,35.036622,,,
