person_name,time_ms,ecg_raw,ecg_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,29,,,25640,25666.455990,23492
unknown,69,,,25675,25677.601507,23500
unknown,109,,,25705,25695.101495,23514
unknown,149,,,25732,25721.006964,23521
unknown,189,,,25750,25717.318432,23521
unknown,229,,,25709,25679.679718,23511
unknown,269,,,25608,25635.329700,23476
unknown,309,,,25541,25574.014189,23452
unknown,349,,,25520,25506.624683,23439
unknown,389,,,25442,25410.538143,23410
unknown,429,,,25272,25285.487154,23348
unknown,469,,,25148,25183.858139,23298
unknown,509,,,25132,25132.934538,23287
unknown,549,,,25128,25127.686083,23282
unknown,589,,,25121,25106.377027,23278
unknown,629,,,25102,25069.853099,23267
unknown,669,,,25047,25025.302728,23248
unknown,709,,,24957,24956.385373,23215
unknown,749,,,24860,24877.641002,23181
unknown,789,,,24768,24783.303636,23143
unknown,829,,,24738,24780.339646,23128
unknown,869,,,24844,24879.800929,23158
unknown,909,,,25096,25071.136072,23255
unknown,949,,,25256,25221.461791,23318
unknown,989,,,25330,25324.364242,23348
unknown,1029,,,25352,25333.928664,23359
unknown,1069,,,25354,25337.305394,23368
unknown,1109,,,25321,25309.365007,23360
unknown,1159,,,25118,25166.971564,23295
unknown,1199,,,24892,24938.569546,23204
unknown,1239,,,24909,24905.727292,23205
unknown,1279,,,25035,25012.448664,23250
unknown,1319,,,25067,25072.067117,23269
unknown,1359,,,25123,25117.745684,23280
unknown,1399,,,25206,25163.320840,23311
unknown,1439,,,25168,25151.619632,23299
unknown,1479,,,25071,25104.725773,23266
unknown,1519,,,25056,25080.548566,23258
unknown,1559,,,25075,25056.701560,23260
unknown,1599,,,25079,25062.327355,23260
unknown,1639,,,25033,25036.072748,23239
unknown,1679,,,24974,24984.622712,23211
unknown,1719,,,24952,24958.160515,23200
unknown,1759,,,24939,24949.780801,23191
unknown,1799,,,24933,24936.682067,23185
unknown,1839,,,24948,24926.974700,23187
unknown,1879,,,24902,24847.453657,23173
unknown,1919,,,24703,24688.490621,23090
unknown,1959,,,24541,24585.328734,23026
unknown,1999,,,24566,24601.585825,23037
unknown,2039,,,24651,24650.743196,23068
unknown,2079,,,24712,24722.041348,23087
unknown,2119,,,24793,24787.235366,23114
unknown,2159,,,24834,24815.919023,23132
unknown,2199,,,24855,24870.818759,23136
unknown,2239,,,24912,24932.625140,23161
unknown,2279,,,24989,24994.247454,23186
unknown,2319,,,25061,25060.153882,23209
unknown,2359,,,25115,25100.250915,23229
unknown,2399,,,25132,25111.110487,23236
unknown,2439,,,25132,25107.288947,23237
unknown,2479,,,25103,25080.086685,23229
unknown,2519,,,25042,25041.503714,23207
unknown,2559,,,24967,24991.742332,23174
unknown,2599,,,24935,24958.003201,23158
unknown,2639,,,24923,24946.170147,23152
unknown,2679,,,24956,24971.320618,23159
unknown,2719,,,25066,25046.007791,23199
unknown,2759,,,25064,25055.605143,23198
unknown,2799,,,25030,24999.976916,23185
unknown,2839,,,24981,24972.367965,23172
unknown,2879,,,24923,24950.696413,23144
unknown,2919,,,24958,24948.325827,23154
unknown,2959,,,24989,24980.208609,23165
unknown,2999,,,24969,24991.949095,23151
unknown,3039,,,24967,24989.211963,23151
unknown,3079,,,25021,25012.219651,23171
unknown,3119,,,25055,25053.760087,23180
unknown,3159,,,25084,25085.766361,23189
unknown,3199,,,25130,25112.788660,23209
unknown,3249,,,25169,25146.428582,23221
unknown,3289,,,25184,25182.264285,23229
unknown,3329,,,25217,25226.863122,23243
unknown,3369,,,25264,25281.845447,23257
unknown,3409,,,25335,25356.951716,23280
unknown,3449,,,25449,25455.748952,23321
unknown,3489,,,25549,25518.091991,23353
unknown,3529,,,25592,25542.633418,23367
unknown,3569,,,25510,25510.788927,23343
unknown,3609,,,25408,25424.884527,23308
unknown,3649,,,25392,25395.028080,23304
unknown,3689,,,25405,25428.600498,23306
unknown,3729,,,25418,25442.094835,23308
unknown,3769,,,25441,25462.143350,23317
unknown,3809,,,25497,25496.282696,23338
unknown,3849,,,25557,25537.374052,23354
unknown,3889,,,25609,25581.643221,23374
unknown,3929,,,25648,25627.971106,23388
unknown,3969,,,25675,25667.215434,23396
unknown,4009,,,25694,25696.408983,23406
unknown,4049,,,25704,25731.191182,23413
unknown,4089,,,25737,25768.861478,23423
unknown,4129,,,25804,25805.452092,23443
unknown,4169,,,25849,25843.268449,23457
unknown,4209,,,25869,25877.123591,23464
unknown,4249,,,25900,25906.560356,23482
unknown,4289,,,25942,25940.659584,23493
unknown,4329,,,26004,25978.745134,23508
unknown,4369,,,26040,25993.453839,23522
unknown,4409,,,26023,25984.111827,23514
unknown,4449,,,25932,25948.421907,23484
unknown,4489,,,25851,25878.050379,23455
unknown,4529,,,25824,25831.683352,23443
unknown,4569,,,25794,25809.932589,23430
unknown,4609,,,25745,25770.796480,23413
unknown,4649,,,25727,25726.392564,23404
unknown,4689,,,25707,25696.614453,23395
unknown,4729,,,25683,25678.657657,23383
unknown,4769,,,25660,25670.640468,23376
unknown,4809,,,25664,25676.911955,23373
unknown,4849,,,25701,25700.211540,23387
unknown,4889,,,25742,25742.644343,23397
unknown,4929,,,25783,25775.317716,23412
unknown,4969,,,25822,25797.427426,23425
unknown,5009,,,25851,25826.075362,23434
unknown,5049,,,25859,25854.548813,23440
unknown,5089,,,25867,25877.929505,23443
unknown,5129,,,25886,25896.646822,23447
unknown,5169,,,25904,25907.597021,23451
unknown,5209,,,25924,25909.016004,23464
unknown,5249,,,25919,25905.312134,23461
unknown,5289,,,25877,25895.081469,23442
unknown,5329,,,25836,25877.222504,23424
unknown,5379,,,25829,25851.977580,23432
unknown,5419,,,25852,25857.757677,23440
unknown,5459,,,25905,25898.280895,23453
unknown,5499,,,25972,25948.877366,23475
unknown,5539,,,26041,26019.922810,23495
unknown,5579,,,26072,26061.736813,23507
unknown,5619,,,26070,26068.368639,23505
unknown,5659,,,26075,26082.929616,23501
unknown,5699,,,26096,26092.993586,23511
unknown,5739,,,26117,26108.867898,23525
unknown,5779,,,26138,26136.355598,23528
unknown,5819,,,26155,26161.412454,23533
unknown,5859,,,26174,26188.224574,23545
unknown,5899,,,26204,26214.309870,23557
unknown,5939,,,26240,26238.124560,23559
unknown,5979,,,26268,26264.714039,23567
unknown,6019,,,26289,26293.212918,23575
unknown,6059,,,26313,26306.789371,23585
unknown,6099,,,26333,26304.562720,23589
unknown,6139,,,26315,26293.833435,23580
unknown,6179,,,26259,26270.085587,23557
unknown,6219,,,26233,26246.772348,23550
unknown,6259,,,26207,26224.711878,23540
unknown,6299,,,26168,26193.327801,23525
unknown,6339,,,26153,26155.567150,23520
unknown,6379,,,26150,26131.467553,23510
unknown,6419,,,26138,26121.840776,23505
unknown,6459,,,26119,26119.349157,23500
unknown,6499,,,26123,26129.461230,23502
unknown,6539,,,26138,26138.081029,23504
unknown,6579,,,26153,26144.853921,23505
unknown,6619,,,26165,26161.724729,23505
unknown,6659,,,26174,26186.015008,23508
unknown,6699,,,26188,26202.086517,23514
unknown,6739,,,26197,26210.139004,23520
unknown,6779,,,26202,26216.038826,23522
unknown,6819,,,26212,26215.990320,23523
unknown,6859,,,26228,26216.750600,23530
unknown,6899,,,26246,26218.506480,23534
unknown,6939,,,26253,26214.579150,23537
unknown,6979,,,26231,26206.110058,23529
unknown,7019,,,26192,26200.100643,23518
unknown,7059,,,26179,26196.056194,23508
unknown,7099,,,26188,26203.128905,23513
unknown,7139,,,26212,26223.996733,23516
unknown,7179,,,26225,26233.500316,23517
unknown,7219,,,26236,26233.123880,23521
unknown,7259,,,26230,26238.872735,23521
unknown,7299,,,26242,26246.300897,23520
unknown,7339,,,26255,26256.630126,23531
unknown,7379,,,26279,26272.012022,23539
unknown,7419,,,26300,26289.331021,23544
unknown,7459,,,26319,26309.632039,23556
unknown,7509,,,26333,26332.346386,23564
unknown,7549,,,26356,26357.235799,23578
unknown,7589,,,26380,26385.722050,23584
unknown,7629,,,26402,26417.704009,23589
unknown,7669,,,26425,26439.234823,23596
unknown,7709,,,26432,26449.209425,23598
unknown,7749,,,26452,26454.186393,23595
unknown,7789,,,26473,26450.290527,23603
unknown,7829,,,26477,26435.962674,23612
unknown,7869,,,26429,26410.622587,23602
unknown,7909,,,26346,26373.335446,23569
unknown,7949,,,26314,26323.058126,23553
unknown,7989,,,26311,26291.438358,23552
unknown,8029,,,26292,26280.849632,23539
unknown,8069,,,26272,26261.754448,23534
unknown,8109,,,26237,26241.302804,23520
unknown,8149,,,26196,26221.689471,23507
unknown,8189,,,26175,26199.035198,23501
unknown,8229,,,26161,26176.762508,23491
unknown,8269,,,26147,26153.956269,23489
unknown,8309,,,26141,26141.215774,23488
unknown,8349,,,26140,26139.892471,23485
unknown,8389,,,26148,26143.744510,23492
unknown,8429,,,26162,26155.833685,23497
unknown,8469,,,26188,26168.180849,23505
unknown,8509,,,26201,26180.020796,23513
unknown,8549,,,26208,26197.950022,23513
unknown,8589,,,26207,26220.111906,23514
