person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,29,,,25202,25332.427501,23924
unknown,69,,,25428,25589.514044,24014
unknown,109,,,25782,25770.981562,24155
unknown,149,,,26017,25907.369296,24266
unknown,189,,,25984,25993.765717,24255
unknown,229,,,25892,25966.487809,24217
unknown,269,,,26147,26024.433737,24326
unknown,309,,,26233,26151.781830,24362
unknown,349,,,26145,26187.976392,24323
unknown,389,,,26126,26160.375907,24313
unknown,429,,,26119,26166.159251,24309
unknown,469,,,26150,26185.131163,24318
unknown,509,,,26182,26177.563677,24329
unknown,549,,,26161,26156.389560,24316
unknown,589,,,26214,26136.174558,24337
unknown,629,,,26196,26113.711898,24329
unknown,669,,,26203,26087.420329,24329
unknown,709,,,26104,26059.992192,24292
unknown,749,,,25757,25858.653251,24150
unknown,789,,,25332,25466.563702,23969
unknown,829,,,25151,25314.777850,23888
unknown,869,,,25203,25389.680458,23906
unknown,909,,,25673,25552.600748,24105
unknown,949,,,25926,25833.449903,24213
unknown,989,,,26172,26051.561110,24314
unknown,1029,,,26259,26165.841294,24344
unknown,1069,,,26085,26009.689696,24270
unknown,1109,,,25538,25493.177456,24045
unknown,1149,,,25107,25295.632378,23852
unknown,1189,,,25253,25387.028264,23916
unknown,1229,,,25512,25509.780810,24021
unknown,1269,,,25817,25806.826205,24149
unknown,1309,,,26168,26104.859045,24298
unknown,1349,,,26474,26393.867718,24420
unknown,1389,,,26546,26559.995685,24453
unknown,1429,,,26522,26543.735681,24436
unknown,1469,,,26432,26423.244699,24399
unknown,1509,,,26291,26140.204501,24345
unknown,1549,,,25756,25907.192596,24123
unknown,1589,,,25751,25990.315723,24116
unknown,1629,,,26296,26319.479795,24343
unknown,1669,,,26713,26662.488618,24521
unknown,1709,,,26880,26858.172415,24594
unknown,1759,,,26854,26750.075639,24583
unknown,1799,,,26929,26734.528893,24614
unknown,1839,,,26892,26707.168201,24590
unknown,1879,,,26358,26473.553149,24360
unknown,1919,,,26246,26375.467981,24314
unknown,1959,,,26228,26290.584723,24307
unknown,1999,,,26149,26341.855730,24269
unknown,2039,,,26291,26283.879210,24327
unknown,2079,,,26208,26142.899686,24301
unknown,2119,,,26141,26073.132444,24277
unknown,2159,,,26158,26042.182049,24280
unknown,2199,,,25978,25848.160304,24209
unknown,2239,,,25481,25496.311317,23998
unknown,2279,,,25320,25437.041595,23926
unknown,2319,,,25487,25661.535671,23993
unknown,2359,,,25757,25786.148473,24102
unknown,2399,,,25917,25893.049393,24177
unknown,2439,,,26044,25991.537256,24242
unknown,2479,,,26210,26021.324837,24315
unknown,2519,,,26038,26059.409600,24242
unknown,2559,,,26033,26085.723526,24238
unknown,2599,,,26184,26170.725427,24296
unknown,2639,,,26292,26329.064979,24339
unknown,2679,,,26465,26442.462528,24407
unknown,2719,,,26569,26525.955724,24450
unknown,2759,,,26511,26657.673942,24420
unknown,2799,,,26684,26821.704218,24488
unknown,2839,,,26902,26946.011002,24589
unknown,2879,,,27051,27036.729297,24656
unknown,2919,,,27178,27123.165157,24710
unknown,2959,,,27264,27190.879163,24749
unknown,2999,,,27318,27245.744847,24769
unknown,3039,,,27352,27288.640965,24776
unknown,3079,,,27338,27305.620322,24765
unknown,3119,,,27352,27296.733191,24773
unknown,3159,,,27314,27266.135615,24751
unknown,3199,,,27191,27210.409006,24702
unknown,3239,,,27106,27125.874125,24667
unknown,3279,,,26972,27011.371589,24604
unknown,3319,,,26877,26938.214531,24563
unknown,3359,,,26880,26911.891936,24564
unknown,3399,,,26791,26896.594706,24526
unknown,3439,,,26822,26911.734301,24534
unknown,3479,,,26958,26913.287855,24595
unknown,3519,,,26988,26897.994635,24605
unknown,3559,,,26895,26904.560728,24562
unknown,3599,,,26965,26923.644656,24589
unknown,3639,,,26986,26933.029125,24599
unknown,3679,,,26972,26935.815698,24590
unknown,3719,,,26923,26936.563319,24567
unknown,3759,,,26891,26930.843282,24552
unknown,3799,,,26847,26927.138836,24531
unknown,3839,,,26816,26925.219866,24515
unknown,3879,,,26933,26917.291601,24566
unknown,3929,,,26941,26904.598299,24577
unknown,3969,,,26937,26899.605709,24580
unknown,4009,,,26962,26902.107734,24588
unknown,4049,,,26971,26906.559090,24588
unknown,4089,,,27018,26915.828262,24607
unknown,4129,,,26988,26839.578975,24594
unknown,4169,,,26618,26668.582536,24426
unknown,4209,,,26416,26590.504773,24349
unknown,4249,,,26564,26594.170339,24425
unknown,4289,,,26505,26613.507539,24405
unknown,4329,,,26661,26687.601774,24474
unknown,4369,,,26861,26774.295478,24562
unknown,4409,,,26878,26872.478270,24562
unknown,4449,,,26901,26956.894346,24567
unknown,4489,,,27022,27014.273610,24620
unknown,4529,,,27080,27056.539208,24643
unknown,4569,,,27037,27070.208758,24618
unknown,4609,,,27077,27057.065334,24634
unknown,4649,,,27127,27012.339846,24658
unknown,4689,,,26934,26919.021479,24574
unknown,4729,,,26751,26772.519695,24493
unknown,4769,,,26588,26666.404843,24427
unknown,4809,,,26445,26602.695206,24364
unknown,4849,,,26454,26529.656583,24373
unknown,4889,,,26442,26469.172337,24368
unknown,4929,,,26536,26443.507692,24411
unknown,4969,,,26608,26453.004461,24442
unknown,5009,,,26521,26337.243624,24400
unknown,5049,,,26314,26087.165233,24317
unknown,5089,,,25694,25793.178987,24047
unknown,5129,,,25497,25624.970938,23958
unknown,5169,,,25526,25572.515317,23968
unknown,5209,,,25769,25756.522157,24086
unknown,5249,,,25536,25709.598224,23999
unknown,5289,,,25717,25764.487563,24064
unknown,5329,,,25939,25857.589096,24164
unknown,5369,,,25884,26046.469999,24139
unknown,5409,,,26123,26189.358604,24234
unknown,5449,,,26350,26301.945782,24329
unknown,5489,,,26483,26426.772342,24397
unknown,5529,,,26659,26540.013857,24473
unknown,5569,,,26674,26619.120704,24484
unknown,5609,,,26682,26660.848453,24480
unknown,5649,,,26678,26657.478552,24470
unknown,5689,,,26580,26598.939710,24430
unknown,5729,,,26572,26606.308105,24423
unknown,5769,,,26751,26683.986184,24497
unknown,5809,,,26798,26762.210140,24512
unknown,5849,,,26805,26869.837035,24518
unknown,5889,,,26869,26930.006775,24543
unknown,5929,,,26821,26931.883511,24526
unknown,5969,,,26928,26935.320438,24569
unknown,6009,,,26969,26920.048368,24588
unknown,6049,,,26954,26924.531321,24579
unknown,6099,,,27014,26957.472732,24611
unknown,6139,,,27016,26984.163520,24616
unknown,6179,,,27061,27015.860712,24627
unknown,6219,,,27045,26999.020233,24615
unknown,6259,,,26769,26925.207255,24490
unknown,6299,,,26842,26913.520518,24518
unknown,6339,,,26993,26956.894476,24580
unknown,6379,,,26985,26962.724420,24573
unknown,6419,,,27024,26950.495931,24595
unknown,6459,,,27032,26970.582489,24604
unknown,6499,,,27015,27012.959939,24591
unknown,6539,,,26995,27050.119007,24579
unknown,6579,,,27050,27088.548976,24602
unknown,6619,,,27125,27140.392463,24634
unknown,6659,,,27120,27202.416438,24631
unknown,6699,,,27194,27243.335196,24661
unknown,6739,,,27259,27261.791920,24691
unknown,6779,,,27268,27271.640943,24695
unknown,6819,,,27317,27264.602749,24716
unknown,6859,,,27347,27261.857377,24731
unknown,6899,,,27300,27264.689827,24700
unknown,6939,,,27293,27255.452373,24697
unknown,6979,,,27284,27238.626514,24696
unknown,7019,,,27187,27225.043696,24651
unknown,7059,,,27127,27213.479532,24625
unknown,7099,,,27190,27201.743250,24655
unknown,7139,,,27171,27192.157962,24642
unknown,7179,,,27166,27173.818512,24637
unknown,7219,,,27156,27146.256013,24633
unknown,7259,,,27129,27116.679840,24623
unknown,7299,,,27135,27082.610042,24626
unknown,7339,,,27113,27065.860796,24618
unknown,7379,,,27110,27069.265426,24617
unknown,7419,,,27067,27080.725068,24594
unknown,7459,,,27091,27106.620238,24602
unknown,7499,,,27101,27136.112340,24612
unknown,7539,,,27105,27168.458512,24614
unknown,7579,,,27140,27214.830133,24630
unknown,7619,,,27227,27273.204139,24666
unknown,7659,,,27320,27309.542524,24708
unknown,7699,,,27362,27322.289914,24736
unknown,7739,,,27344,27326.478828,24733
unknown,7779,,,27335,27313.120768,24738
unknown,7819,,,27340,27305.113870,24737
unknown,7859,,,27333,27303.837251,24727
unknown,7899,,,27325,27290.160123,24727
unknown,7939,,,27320,27268.914728,24720
unknown,7979,,,27279,27260.479088,24698
unknown,8019,,,27263,27264.399479,24699
unknown,8059,,,27276,27274.232301,24705
unknown,8099,,,27248,27294.998648,24687
unknown,8139,,,27256,27309.914413,24695
unknown,8179,,,27276,27318.285859,24704
unknown,8219,,,27291,27332.693163,24706
unknown,8269,,,27280,27349.554637,24702
unknown,8309,,,27275,27347.754901,24700
unknown,8349,,,27323,27326.577554,24719
unknown,8389,,,27335,27293.444992,24720
unknown,8429,,,27361,27242.620031,24733
unknown,8469,,,27253,27189.492783,24685
unknown,8509,,,27155,27134.426044,24639
unknown,8549,,,27119,27064.593529,24619
unknown,8589,,,27003,26982.938563,24567
unknown,8629,,,26953,26910.971847,24554
unknown,8669,,,26862,26849.002081,24516
unknown,8709,,,26786,26788.597878,24484
unknown,8749,,,26785,26735.241656,24485
unknown,8789,,,26553,26688.710671,24384
unknown,8829,,,26545,26649.756009,24388
unknown,8869,,,26535,26623.606389,24384
unknown,8909,,,26538,26611.418039,24384
unknown,8949,,,26614,26626.060336,24417
unknown,8989,,,26691,26671.019814,24454
unknown,9029,,,26813,26742.474042,24509
unknown,9069,,,26849,26845.684135,24524
unknown,9109,,,26928,26908.966910,24554
unknown,9149,,,27014,26927.031789,24592
unknown,9189,,,27024,26939.496811,24599
unknown,9229,,,27013,26927.540531,24596
unknown,9269,,,26962,26920.982476,24576
unknown,9309,,,26768,26923.036345,24488
unknown,9349,,,26808,26902.879263,24500
unknown,9389,,,26861,26866.677073,24530
unknown,9429,,,26736,26825.324113,24475
unknown,9469,,,26775,26774.953095,24492
unknown,9509,,,26827,26713.774812,24515
unknown,9549,,,26719,26642.741514,24466
unknown,9589,,,26643,26542.096435,24439
unknown,9629,,,26544,26409.668891,24401
unknown,9669,,,26137,26254.805064,24227
unknown,9709,,,26001,26071.726335,24171
unknown,9749,,,25972,25983.168315,24161
unknown,9789,,,25879,26000.992579,24122
