person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,0,2126,,
unknown,1,2178,,
unknown,2,2206,,
unknown,3,2202,,
unknown,4,2166,,
unknown,5,2110,,
unknown,6,2023,,
unknown,7,1936,,
unknown,8,1846,,
unknown,9,1766,,
unknown,10,1709,,
unknown,11,1677,,
unknown,12,1675,,
unknown,13,1693,,
unknown,14,1733,,
unknown,15,1783,,
unknown,16,1851,,
unknown,17,1923,,
unknown,18,1994,,
unknown,19,2064,,
unknown,20,2121,,
unknown,21,2161,,
unknown,22,2187,,
unknown,23,2176,,
unknown,24,2141,,
unknown,25,2078,,
unknown,26,1995,,
unknown,27,1903,,
unknown,28,1810,,
unknown,29,1730,,
unknown,30,1677,,
unknown,31,1653,,
unknown,32,1661,,
unknown,33,1687,,
unknown,34,1740,,
unknown,35,1806,,
unknown,36,1875,,
unknown,37,1956,,
unknown,38,2032,,
unknown,39,2102,,
unknown,40,2160,,
unknown,41,2202,,
unknown,42,2217,,
unknown,43,2204,,
unknown,44,2160,,
unknown,45,2094,,
unknown,46,2000,,
unknown,47,1902,,
unknown,48,1808,,
unknown,49,1719,,
unknown,50,1657,,
unknown,51,1618,,
unknown,52,1615,,
unknown,53,1638,,
unknown,54,1681,,
unknown,55,1745,,
unknown,56,1823,,
unknown,57,1904,,
unknown,58,1989,,
unknown,59,2073,,
unknown,60,2137,,
unknown,61,2192,,
unknown,62,2221,,
unknown,63,2220,,
unknown,64,2188,,
unknown,65,2131,,
unknown,66,2062,,
unknown,67,1959,,
unknown,68,1872,,
unknown,69,1789,,
unknown,70,1739,,
unknown,71,1707,,
unknown,72,1705,,
unknown,73,1727,,
unknown,74,1773,,
unknown,75,1836,,
unknown,76,1906,,
unknown,77,1987,,
unknown,78,2075,,
unknown,79,2153,,
unknown,80,2218,,
unknown,81,2273,,
unknown,82,2297,,
unknown,83,2295,,
unknown,84,2259,,
unknown,85,2202,,
unknown,86,2121,,
unknown,87,2027,,
unknown,88,1929,,
unknown,89,1842,,
unknown,90,1782,,
unknown,91,1746,,
unknown,92,1739,,
unknown,93,1755,,
unknown,94,1795,,
unknown,95,1853,,
unknown,96,1920,,
unknown,97,1995,,
unknown,98,2077,,
unknown,99,2145,,
unknown,100,2202,,
unknown,101,2247,,
unknown,102,2272,,
unknown,103,2266,,
unknown,104,2227,,
unknown,105,2170,,
unknown,106,2087,,
unknown,107,1989,,
unknown,108,1901,,
unknown,109,1814,,
unknown,110,1758,,
unknown,111,1725,,
unknown,112,1719,,
unknown,113,1734,,
unknown,114,1773,,
unknown,115,1827,,
unknown,116,1894,,
unknown,117,1966,,
unknown,118,2034,,
unknown,119,2109,,
unknown,120,2161,,
unknown,121,2206,,
unknown,122,2225,,
unknown,123,2218,,
unknown,124,2177,,
unknown,125,2115,,
unknown,126,2019,,
unknown,127,1925,,
unknown,128,1826,,
unknown,129,1744,,
unknown,130,1681,,
unknown,131,1654,,
unknown,132,1650,,
unknown,133,1674,,
unknown,134,1714,,
unknown,135,1776,,
unknown,136,1853,,
unknown,137,1934,,
unknown,138,2011,,
unknown,139,2093,,
unknown,140,2153,,
unknown,141,2202,,
unknown,142,2219,,
unknown,143,2219,,
unknown,144,2178,,
unknown,145,2113,,
unknown,146,2029,,
unknown,147,1936,,
unknown,148,1842,,
unknown,149,1761,,
unknown,150,1701,,
unknown,151,1674,,
unknown,152,1665,,
unknown,153,1683,,
unknown,154,1731,,
unknown,155,1791,,
unknown,156,1861,,
unknown,157,1936,,
unknown,158,2015,,
unknown,159,2094,,
unknown,160,2148,,
unknown,161,2192,,
unknown,162,2210,,
unknown,163,2199,,
unknown,164,2159,,
unknown,165,2095,,
unknown,166,2001,,
unknown,167,1909,,
unknown,168,1821,,
unknown,169,1743,,
unknown,170,1690,,
unknown,171,1661,,
unknown,172,1663,,
unknown,173,1680,,
unknown,174,1728,,
unknown,175,1785,,
unknown,176,1857,,
unknown,177,1927,,
unknown,178,2000,,
unknown,179,2067,,
unknown,180,2128,,
unknown,181,2170,,
unknown,182,2187,,
unknown,183,2176,,
unknown,184,2135,,
unknown,185,2070,,
unknown,186,1984,,
unknown,187,1897,,
unknown,188,1805,,
unknown,189,1730,,
unknown,190,1680,,
unknown,191,1654,,
unknown,192,1657,,
unknown,193,1680,,
unknown,194,1726,,
unknown,195,1784,,
unknown,196,1857,,
unknown,197,1931,,
unknown,198,2001,,
unknown,199,2069,,
unknown,200,2125,,
unknown,201,2160,,
unknown,202,2166,,
unknown,203,2153,,
unknown,204,2105,,
unknown,205,2032,,
unknown,206,1946,,
unknown,207,1856,,
unknown,208,1770,,
unknown,209,1695,,
unknown,210,1651,,
unknown,211,1634,,
unknown,212,1646,,
unknown,213,1679,,
unknown,214,1730,,
unknown,215,1799,,
unknown,216,1872,,
unknown,217,1951,,
unknown,218,2027,,
unknown,219,2096,,
unknown,220,2151,,
unknown,221,2192,,
unknown,222,2205,,
unknown,223,2192,,
unknown,224,2150,,
unknown,225,2085,,
unknown,226,2000,,
unknown,227,1905,,
unknown,228,1815,,
unknown,229,1743,,
unknown,230,1689,,
unknown,231,1667,,
unknown,232,1667,,
unknown,233,1695,,
unknown,234,1743,,
unknown,235,1801,,
unknown,236,1873,,
unknown,237,1949,,
unknown,238,2019,,
unknown,239,2094,,
unknown,240,2151,,
unknown,241,2190,,
unknown,242,2205,,
unknown,243,2190,,
unknown,244,2146,,
unknown,245,2075,,
unknown,246,1987,,
unknown,247,1895,,
unknown,248,1806,,
unknown,249,1729,,
unknown,250,1680,,
unknown,251,1659,,
unknown,252,1665,,
unknown,253,1692,,
unknown,254,1737,,
unknown,255,1801,,
unknown,256,1873,,
unknown,257,1947,,
unknown,258,2022,,
unknown,259,2096,,
unknown,260,2153,,
unknown,261,2193,,
unknown,262,2212,,
unknown,263,2203,,
unknown,264,2160,,
unknown,265,2099,,
unknown,266,2016,,
unknown,267,1927,,
unknown,268,1840,,
unknown,269,1766,,
unknown,270,1712,,
unknown,271,1686,,
unknown,272,1681,,
unknown,273,1705,,
unknown,274,1744,,
unknown,275,1803,,
unknown,276,1870,,
unknown,277,1936,,
unknown,278,2010,,
unknown,279,2083,,
unknown,280,2138,,
unknown,281,2171,,
unknown,282,2188,,
unknown,283,2169,,
unknown,284,2128,,
unknown,285,2059,,
unknown,286,1970,,
unknown,287,1879,,
unknown,288,1792,,
unknown,289,1718,,
unknown,290,1664,,
unknown,291,1638,,
unknown,292,1637,,
unknown,293,1662,,
unknown,294,1702,,
unknown,295,1759,,
unknown,296,1828,,
unknown,297,1904,,
unknown,298,1977,,
unknown,299,2038,,
unknown,300,2106,,
unknown,301,2149,,
unknown,302,2171,,
unknown,303,2160,,
unknown,304,2127,,
unknown,305,2064,,
unknown,306,1984,,
unknown,307,1898,,
unknown,308,1808,,
unknown,309,1739,,
unknown,310,1685,,
unknown,311,1664,,
unknown,312,1661,,
unknown,313,1680,,
unknown,314,1719,,
unknown,315,1774,,
unknown,316,1837,,
unknown,317,1899,,
unknown,318,1968,,
unknown,319,2021,,
unknown,320,2075,,
unknown,321,2109,,
unknown,322,2121,,
unknown,323,2107,,
unknown,324,2065,,
unknown,325,1999,,
unknown,326,1921,,
unknown,327,1840,,
unknown,328,1764,,
unknown,329,1696,,
unknown,330,1659,,
unknown,331,1646,,
unknown,332,1659,,
unknown,333,1689,,
unknown,334,1737,,
unknown,335,1797,,
unknown,336,1867,,
unknown,337,1942,,
unknown,338,2011,,
unknown,339,2080,,
unknown,340,2128,,
unknown,341,2161,,
unknown,342,2174,,
unknown,343,2151,,
unknown,344,2101,,
unknown,345,2031,,
unknown,346,1943,,
unknown,347,1856,,
unknown,348,1767,,
unknown,349,1696,,
unknown,350,1651,,
unknown,351,1632,,
unknown,352,1641,,
unknown,353,1669,,
unknown,354,1721,,
unknown,355,1783,,
unknown,356,1861,,
unknown,357,1936,,
unknown,358,2013,,
unknown,359,2091,,
unknown,360,2146,,
unknown,361,2191,,
unknown,362,2203,,
unknown,363,2191,,
unknown,364,2144,,
unknown,365,2074,,
unknown,366,1985,,
unknown,367,1893,,
unknown,368,1806,,
unknown,369,1730,,
unknown,370,1676,,
unknown,371,1648,,
unknown,372,1646,,
unknown,373,1665,,
unknown,374,1711,,
unknown,375,1766,,
unknown,376,1834,,
unknown,377,1904,,
unknown,378,1972,,
unknown,379,2035,,
unknown,380,2096,,
unknown,381,2133,,
unknown,382,2146,,
unknown,383,2128,,
unknown,384,2091,,
unknown,385,2028,,
unknown,386,1951,,
unknown,387,1871,,
unknown,388,1791,,
unknown,389,1728,,
unknown,390,1686,,
unknown,391,1671,,
unknown,392,1681,,
unknown,393,1708,,
unknown,394,1751,,
unknown,395,1803,,
unknown,396,1865,,
unknown,397,1925,,
unknown,398,1983,,
unknown,399,2034,,
unknown,400,2086,,
unknown,401,2117,,
unknown,402,2128,,
unknown,403,2114,,
unknown,404,2075,,
unknown,405,2014,,
unknown,406,1949,,
unknown,407,1872,,
unknown,408,1808,,
unknown,409,1757,,
unknown,410,1734,,
unknown,411,1732,,
unknown,412,1747,,
unknown,413,1783,,
unknown,414,1839,,
unknown,415,1899,,
unknown,416,1963,,
unknown,417,2032,,
unknown,418,2099,,
unknown,419,2160,,
unknown,420,2203,,
unknown,421,2231,,
unknown,422,2231,,
unknown,423,2211,,
unknown,424,2161,,
unknown,425,2090,,
unknown,426,2000,,
unknown,427,1907,,
unknown,428,1824,,
unknown,429,1758,,
unknown,430,1715,,
unknown,431,1699,,
unknown,432,1709,,
unknown,433,1737,,
unknown,434,1785,,
unknown,435,1846,,
unknown,436,1913,,
unknown,437,1984,,
unknown,438,2061,,
unknown,439,2122,,
unknown,440,2169,,
unknown,441,2203,,
unknown,442,2210,,
unknown,443,2186,,
unknown,444,2134,,
unknown,445,2064,,
unknown,446,1968,,
unknown,447,1872,,
unknown,448,1779,,
unknown,449,1708,,
unknown,450,1662,,
unknown,451,1643,,
unknown,452,1649,,
unknown,453,1682,,
unknown,454,1734,,
unknown,455,1805,,
unknown,456,1872,,
unknown,457,1945,,
unknown,458,2019,,
unknown,459,2085,,
unknown,460,2135,,
unknown,461,2164,,
unknown,462,2167,,
unknown,463,2141,,
unknown,464,2089,,
unknown,465,2005,,
unknown,466,1918,,
unknown,467,1819,,
unknown,468,1728,,
unknown,469,1650,,
unknown,470,1603,,
unknown,471,1586,,
unknown,472,1595,,
unknown,473,1621,,
unknown,474,1673,,
unknown,475,1741,,
unknown,476,1810,,
unknown,477,1888,,
unknown,478,1963,,
unknown,479,2032,,
unknown,480,2094,,
unknown,481,2131,,
unknown,482,2145,,
unknown,483,2128,,
unknown,484,2082,,
unknown,485,2000,,
unknown,486,1918,,
unknown,487,1823,,
unknown,488,1731,,
unknown,489,1657,,
unknown,490,1606,,
unknown,491,1591,,
unknown,492,1595,,
unknown,493,1620,,
unknown,494,1673,,
unknown,495,1735,,
unknown,496,1808,,
unknown,497,1882,,
unknown,498,1953,,
unknown,499,2017,,
unknown,500,2079,,
unknown,501,2112,,
unknown,502,2124,,
unknown,503,2103,,
unknown,504,2047,,
unknown,505,1979,,
unknown,506,1899,,
unknown,507,1809,,
unknown,508,1730,,
unknown,509,1666,,
unknown,510,1626,,
unknown,511,1611,,
unknown,512,1612,,
unknown,513,1637,,
unknown,514,1679,,
unknown,515,1730,,
unknown,516,1794,,
unknown,517,1863,,
unknown,518,1923,,
unknown,519,1979,,
unknown,520,2023,,
unknown,521,2061,,
unknown,522,2064,,
unknown,523,2035,,
unknown,524,1992,,
unknown,525,1925,,
unknown,526,1846,,
unknown,527,1761,,
unknown,528,1682,,
unknown,529,1622,,
unknown,530,1583,,
unknown,531,1566,,
unknown,532,1566,,
unknown,533,1584,,
unknown,534,1610,,
unknown,535,1643,,
unknown,536,1673,,
unknown,537,1695,,
unknown,538,1711,,
unknown,539,1707,,
unknown,540,1685,,
unknown,541,1645,,
unknown,542,1577,,
unknown,543,1479,,
unknown,544,1363,,
unknown,545,1237,,
unknown,546,1111,,
unknown,547,989,,
unknown,548,894,,
unknown,549,832,,
unknown,550,814,,
unknown,551,846,,
unknown,552,918,,
unknown,553,1039,,
unknown,554,1198,,
unknown,555,1392,,
unknown,556,1611,,
unknown,557,1840,,
unknown,558,2085,,
unknown,559,2323,,
unknown,560,2559,,
unknown,561,2811,,
unknown,562,3050,,
unknown,563,3303,,
unknown,564,3559,,
unknown,565,3828,,
unknown,566,4095,,
unknown,567,4095,,
unknown,568,4095,,
unknown,569,4095,,
unknown,570,4095,,
unknown,571,4095,,
unknown,572,4095,,
unknown,573,4095,,
unknown,574,4095,,
unknown,575,4095,,
unknown,576,4095,,
unknown,577,4095,,
unknown,578,4095,,
unknown,579,4095,,
unknown,580,4095,,
unknown,581,4095,,
unknown,582,4095,,
unknown,583,4095,,
unknown,584,4095,,
unknown,585,3888,,
unknown,586,3536,,
unknown,587,3186,,
unknown,588,2870,,
unknown,589,2585,,
unknown,590,2317,,
unknown,591,2074,,
unknown,592,1860,,
unknown,593,1686,,
unknown,594,1554,,
unknown,595,1461,,
unknown,596,1415,,
unknown,597,1404,,
unknown,598,1429,,
unknown,599,1483,,
unknown,600,1564,,
unknown,601,1643,,
unknown,602,1712,,
unknown,603,1753,,
unknown,604,1777,,
unknown,605,1776,,
unknown,606,1759,,
unknown,607,1737,,
unknown,608,1712,,
unknown,609,1702,,
unknown,610,1707,,
unknown,611,1725,,
unknown,612,1755,,
unknown,613,1793,,
unknown,614,1842,,
unknown,615,1892,,
unknown,616,1939,,
unknown,617,1987,,
unknown,618,2027,,
unknown,619,2060,,
unknown,620,2078,,
unknown,621,2075,,
