person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,29,,23924,25202
unknown,69,,24014,25428
unknown,109,,24155,25782
unknown,149,,24266,26017
unknown,189,,24255,25984
unknown,229,,24217,25892
unknown,269,,24326,26147
unknown,309,,24362,26233
unknown,349,,24323,26145
unknown,389,,24313,26126
unknown,429,,24309,26119
unknown,469,,24318,26150
unknown,509,,24329,26182
unknown,549,,24316,26161
unknown,589,,24337,26214
unknown,629,,24329,26196
unknown,669,,24329,26203
unknown,709,,24292,26104
unknown,749,,24150,25757
unknown,789,,23969,25332
unknown,829,,23888,25151
unknown,869,,23906,25203
unknown,909,,24105,25673
unknown,949,,24213,25926
unknown,989,,24314,26172
unknown,1029,,24344,26259
unknown,1069,,24270,26085
unknown,1109,,24045,25538
unknown,1149,,23852,25107
unknown,1189,,23916,25253
unknown,1229,,24021,25512
unknown,1269,,24149,25817
unknown,1309,,24298,26168
unknown,1349,,24420,26474
unknown,1389,,24453,26546
unknown,1429,,24436,26522
unknown,1469,,24399,26432
unknown,1509,,24345,26291
unknown,1549,,24123,25756
unknown,1589,,24116,25751
unknown,1629,,24343,26296
unknown,1669,,24521,26713
unknown,1709,,24594,26880
unknown,1759,,24583,26854
unknown,1799,,24614,26929
unknown,1839,,24590,26892
unknown,1879,,24360,26358
unknown,1919,,24314,26246
unknown,1959,,24307,26228
unknown,1999,,24269,26149
unknown,2039,,24327,26291
unknown,2079,,24301,26208
unknown,2119,,24277,26141
unknown,2159,,24280,26158
unknown,2199,,24209,25978
unknown,2239,,23998,25481
unknown,2279,,23926,25320
unknown,2319,,23993,25487
unknown,2359,,24102,25757
unknown,2399,,24177,25917
unknown,2439,,24242,26044
unknown,2479,,24315,26210
unknown,2519,,24242,26038
unknown,2559,,24238,26033
unknown,2599,,24296,26184
unknown,2639,,24339,26292
unknown,2679,,24407,26465
unknown,2719,,24450,26569
unknown,2759,,24420,26511
unknown,2799,,24488,26684
unknown,2839,,24589,26902
unknown,2879,,24656,27051
unknown,2919,,24710,27178
unknown,2959,,24749,27264
unknown,2999,,24769,27318
unknown,3039,,24776,27352
unknown,3079,,24765,27338
unknown,3119,,24773,27352
unknown,3159,,24751,27314
unknown,3199,,24702,27191
unknown,3239,,24667,27106
unknown,3279,,24604,26972
unknown,3319,,24563,26877
unknown,3359,,24564,26880
unknown,3399,,24526,26791
unknown,3439,,24534,26822
